match_id,city,winner,total_runs,date
1,Bangalore,Kolkata Knight Riders,222,2008-04-18
2,Chandigarh,Chennai Super Kings,240,2008-04-19
3,Delhi,Delhi Capitals,129,2008-04-19
4,Mumbai,Royal Challengers Bengaluru,165,2008-04-20
5,Kolkata,Kolkata Knight Riders,110,2008-04-20
6,Jaipur,Rajasthan Royals,166,2008-04-21
7,Hyderabad,Delhi Capitals,142,2008-04-22
8,Chennai,Chennai Super Kings,208,2008-04-23
9,Hyderabad,Rajasthan Royals,214,2008-04-24
10,Chandigarh,Punjab Kings,182,2008-04-25
11,Bangalore,Rajasthan Royals,135,2008-04-26
12,Chennai,Chennai Super Kings,147,2008-04-26
13,Mumbai,Sunrisers Hyderabad,154,2008-04-27
14,Chandigarh,Punjab Kings,158,2008-04-27
15,Bangalore,Chennai Super Kings,178,2008-04-28
16,Kolkata,Mumbai Indians,137,2008-04-29
17,Delhi,Delhi Capitals,191,2008-04-30
18,Hyderabad,Punjab Kings,164,2008-05-01
19,Jaipur,Rajasthan Royals,196,2008-05-01
20,Chennai,Delhi Capitals,169,2008-05-02
21,Chandigarh,Punjab Kings,178,2008-05-03
22,Bangalore,Royal Challengers Bengaluru,156,2008-05-03
23,Mumbai,Mumbai Indians,162,2008-05-04
24,Jaipur,Rajasthan Royals,109,2008-05-04
25,Bangalore,Punjab Kings,126,2008-05-05
26,Chennai,Sunrisers Hyderabad,144,2008-05-06
27,Mumbai,Mumbai Indians,103,2008-05-07
28,Delhi,Chennai Super Kings,187,2008-05-08
29,Kolkata,Kolkata Knight Riders,129,2008-05-08
30,Jaipur,Rajasthan Royals,140,2008-05-09
31,Chennai,Chennai Super Kings,181,2008-05-10
32,Hyderabad,Kolkata Knight Riders,204,2008-05-11
33,Jaipur,Rajasthan Royals,156,2008-05-11
34,Chandigarh,Punjab Kings,143,2008-05-12
35,Kolkata,Kolkata Knight Riders,133,2008-05-13
36,Mumbai,Mumbai Indians,156,2008-05-14
37,Delhi,Delhi Capitals,194,2008-05-15
38,Mumbai,Mumbai Indians,67,2008-05-16
40,Jaipur,Rajasthan Royals,197,2008-05-17
41,Hyderabad,Mumbai Indians,178,2008-05-18
43,Bangalore,Delhi Capitals,154,2008-05-19
44,Kolkata,Rajasthan Royals,147,2008-05-20
45,Mumbai,Punjab Kings,189,2008-05-21
46,Chennai,Royal Challengers Bengaluru,126,2008-05-21
47,Chandigarh,Punjab Kings,175,2008-05-23
48,Delhi,Delhi Capitals,176,2008-05-24
49,Chennai,Rajasthan Royals,211,2008-05-24
50,Hyderabad,Royal Challengers Bengaluru,165,2008-05-25
51,Kolkata,Kolkata Knight Riders,174,2008-05-25
52,Jaipur,Rajasthan Royals,145,2008-05-26
53,Hyderabad,Chennai Super Kings,147,2008-05-27
54,Bangalore,Mumbai Indians,122,2008-05-28
55,Chandigarh,Punjab Kings,221,2008-05-28
56,Mumbai,Rajasthan Royals,192,2008-05-30
57,Mumbai,Chennai Super Kings,112,2008-05-31
